timestamp,doc_id,stage,batch_uuid,pages,images_extracted,images_sent_to_batch,images_downloaded,images_filtered_in,images_filtered_out,images_integrated,duration_seconds,status,notes
2025-10-15T19:26:17.712303,FY25 Q1 Results Presentation_Website,extraction,,34,66,,,,,,28.74,success,
2025-10-15T19:26:59.858229,LVMH_2024 First half financial report (3),extraction,,62,18,,,,,,36.09,success,
2025-10-15T19:27:00.450489,FY25 Q1 Results Presentation_Website,batch_creation,211c49e2,,,66,,,,,0.00,success,
2025-10-15T19:27:00.450546,LVMH_2024 First half financial report (3),batch_creation,211c49e2,,,18,,,,,0.00,success,
2025-10-15T19:57:44.550490,Website,download,FY25 Q1 Results Presentation,,,,50,,,,0.94,success,
2025-10-15T19:57:45.270652,Website,download,FY25 Q1 Results Presentation,,,,16,,,,0.36,success,
2025-10-15T19:57:45.270778,2024 First half financial report (3),download,LVMH,,,,18,,,,0.36,success,
2025-10-15T19:57:46.130992,FY25 Q1 Results Presentation,download,211c49e2,,,,66,,,,0.43,success,
2025-10-15T19:57:46.131261,LVMH,download,211c49e2,,,,18,,,,0.43,success,
2025-10-15T19:57:46.847775,Website,download,FY25 Q1 Results Presentation,,,,20,,,,0.36,success,
2025-10-15T19:57:46.847918,2024 First half financial report (3),download,LVMH,,,,18,,,,0.36,success,
2025-10-15T19:58:31.870718,Website,filter,FY25 Q1 Results Presentation,,,,,3,17,,18.91,success,
2025-10-15T19:58:31.872300,2024 First half financial report (3),filter,LVMH,,,,,16,2,,18.91,success,
2025-10-15T19:59:24.660564,FY25 Q1 Results Presentation,filter,,,,,,10,40,,52.78,success,
2025-10-15T20:00:49.508239,FY25 Q1 Results Presentation,filter,,,,,,12,54,,42.42,success,
2025-10-15T20:00:49.509448,LVMH,filter,,,,,,17,1,,42.42,success,
2025-10-15T20:02:37.006199,FY25 Q1 Results Presentation,filter,f4794f0e,,,,,10,56,,53.75,success,
2025-10-15T20:02:37.006658,LVMH,filter,f4794f0e,,,,,17,1,,53.75,success,
2025-10-15T20:03:09.759129,Website,integration,FY25 Q1 Results Presentation,,,,,,,15,0.00,success,
2025-10-15T20:03:09.759186,2024 First half financial report (3),integration,LVMH,,,,,,,50,0.00,success,
2025-10-15T20:03:09.759210,FY25 Q1 Results Presentation,integration,,,,,,,,36,0.00,success,
2025-10-15T20:03:09.759231,LVMH,integration,,,,,,,,85,0.00,success,
2025-10-15T20:07:19.379545,Website,integration,FY25 Q1 Results Presentation,,,,,,,15,0.00,success,
2025-10-15T20:07:19.379619,2024 First half financial report (3),integration,LVMH,,,,,,,50,0.00,success,
2025-10-15T20:07:19.379646,FY25 Q1 Results Presentation,integration,,,,,,,,36,0.00,success,
2025-10-15T20:07:19.379670,LVMH,integration,,,,,,,,85,0.00,success,
2025-10-15T20:11:32.425748,FY25 Q1 Results Presentation_Website,conversion,,34,,,,,,,95.08,success,
2025-10-15T20:13:34.145223,LVMH_2024_First_half_financial_report_,conversion,,62,,,,,,,121.70,success,
2025-10-15T20:14:06.694030,LVMH_Half_Year_Results_2024_,conversion,,11,,,,,,,32.53,success,
2025-10-15T20:34:52.226121,FY25 Q1 Results Presentation_Website,conversion,,34,,,,,,,114.14,success,
2025-10-15T20:36:52.490263,LVMH_2024_First_half_financial_report_(3),conversion,,62,,,,,,,119.99,success,
2025-10-15T20:37:39.949658,LVMH_Half_Year_Results_2024_(4),conversion,,11,,,,,,,47.45,success,
